,user,Clase,degree,betweenness,eigenvector,closeness,pagerank,harmonic
180,1136447223628271622,1,5.0,78982.60471908587,0.0005148002254525066,0.2598916368434732,4.568342497589749e-05,0.2645383827544011
181,312855179,1,1.0,0.0,0.003219979913157785,0.2549590072832355,9.049456139387932e-06,0.26223624905633436
182,4160782817,1,126.0,54650.973085241305,0.011128986977494686,0.30436445374084886,3.0930852020858214e-05,0.32565274432591296
183,1354449413414989835,1,6.0,0.0,3.9575308987694175e-06,0.19614421229466145,1.0239631836736673e-05,0.1979941168658355
184,1565605044,1,17.0,0.0,0.007389716765238943,0.2817295188556567,7.986407834086826e-06,0.3027702299292008
185,1146448109070966784,1,77.0,0.0,0.00014014833766899413,0.2377546914438307,6.522388812664276e-06,0.2441172048273363
186,210152430,1,18.0,0.0,4.3479717183593805e-05,0.2217099129010984,1.2429544329007055e-05,0.2254518638697957
187,332305405,1,23.0,0.0,0.00738971676523894,0.2817295188556567,7.986407834086826e-06,0.3027702299292008
188,997060027147055104,1,2.0,0.0,0.0032199799131577877,0.2549590072832355,9.049456139387932e-06,0.26223624905633436
190,1183974626,1,8.0,0.0,0.0036184497441075695,0.25873977401654735,1.022963252558975e-05,0.2691019396276564
191,15750760,1,1.0,0.0,0.007687563264012641,0.28464340196929994,1.0779869564562049e-05,0.305748947987435
192,882731195834003457,1,1.0,25.68439412606455,0.0005070170761390253,0.25326345322058996,9.68471973089339e-06,0.25797014920622785
193,164350783,1,8.0,0.0,0.0032199799131577855,0.2549590072832355,9.049456139387932e-06,0.26223624905633436
194,1249892637085237258,1,5.0,46733.739805708785,0.009789005343858471,0.307227491885419,5.075912329637778e-05,0.32537180881546224
