,comunidad_1
1059,175494868
1060,142375788
1061,1636268256
1062,351703660
1063,1139237404785725440
1064,2207989204
1065,2570023515
1066,1205220073700577280
1067,886351599387496452
1068,100353113
1069,2673439637
1070,2461645902
1071,994346766224035840
1072,337920960
1073,2824024553
1074,221251655
1075,1099502780010688512
1076,1088144136119742466
1077,254670770
1078,1164908636
1079,1220284617279918081
1080,886047504487387136
1081,1413746881
1082,1038313441159786496
1083,2752954306
1084,1314723900585111554
1085,3148608361
1086,310418658
1087,1122185393368125440
1088,177347474
1089,160617292
1090,189748670
1091,209589162
1092,782816633224036352
1093,90464201
1094,42101254
1095,1073587808462348290
1096,1123058379591700483
1097,938556368604356608
1098,1544396288
1099,1310638584576253952
1100,800945202
1101,983427625
1102,486786835
1103,1155582700574715904
1104,1300453111
1105,4497008602
1106,170053464
1107,1327310331367088129
1108,2379696240
1109,4561412317
1110,481623184
1111,27579446
1112,610319414
1113,198959942
1114,1070640741741981696
1115,910889568383139840
1116,1002350137040089091
1117,172562574
1118,169684937
1119,158886240
1120,1250066918733725697
1121,1019989381
1122,68027704
1123,4464950849
1124,476078094
1125,196788822
1126,305802798
1127,1105595826330628098
1128,1088796412320583681
1129,1676101422
1130,4896706619
1131,1277981073582907395
1132,158056277
1133,983848121754058752
1134,1316464631246921735
1135,883444339409645568
1136,1677027607
1137,396554010
1138,35987013
1139,263754748
1140,914503721228423168
1141,239567844
1142,728645812247498754
1143,367370257
1144,1295419188849315840
1145,2317417494
1146,4826246397
1147,1243265094538203137
1148,3354882316
1149,748709314299330565
1150,256507822
1151,47284952
1152,145408710
1153,3082094613
1154,1164917611320283136
1155,963622026425569282
1156,3109190002
1157,358871687
1158,1135676425120428033
1159,2454143292
1160,883750992990412801
1161,190434769
1162,160021550
1163,1351325143998619655
1164,766322088
1165,996476180239933442
1166,1097571657500291074
1167,717716071239782400
1168,632187020
1169,152039426
1170,279318348
1171,51589813
1172,360870005
1173,809288169292238848
1174,4778142569
1175,227373165
1176,488976692
1177,2533109552
1178,1327557385423101953
1179,113600346
1180,1192400142353207296
1181,258649846
1182,57848789
1183,1027254488
1184,3293855205
1185,553001561
1186,186495293
1187,1126172199407239168
1188,1935996103
1189,1222591086595579905
1190,1299503479539597318
